order,family,genus,art,art_id,color
Rosales,Rosaceae,Malus,Malus toringo,254,#228B8D
Rosales,Rosaceae,Malus,Malus trilobata,255,#228B8D
Rosales,Rosaceae,Malus,Malus tschonoskii,256,#238A8D
Rosales,Rosaceae,Mespilus,Mespilus germanica,257,#238A8D
Rosales,Rosaceae,Mespilus,Mespilus sp.,258,#23898E
Rosales,Rosaceae,Physocarpus,Physocarpus opulifolius,259,#23898E
Rosales,Rosaceae,Prunus,Prunus americana,260,#23888E
Rosales,Rosaceae,Prunus,Prunus avium,261,#23888E
Rosales,Rosaceae,Prunus,Prunus cerasifera,262,#23888E
Rosales,Rosaceae,Prunus,Prunus cerasus,263,#24878E
Rosales,Rosaceae,Prunus,Prunus domestica,264,#24878E
Rosales,Rosaceae,Prunus,Prunus hybr.,265,#24868E
Rosales,Rosaceae,Prunus,Prunus hybr. amygdalo-persica,266,#24868E
Rosales,Rosaceae,Prunus,Prunus hybr. hilleri,267,#25858E
Rosales,Rosaceae,Prunus,Prunus hybr. yedoensis,268,#25858E
Rosales,Rosaceae,Prunus,Prunus maackii,269,#25848E
Rosales,Rosaceae,Prunus,Prunus mahaleb,270,#25848E
Rosales,Rosaceae,Prunus,Prunus padus,271,#25848E
Rosales,Rosaceae,Prunus,Prunus persica,272,#25838E
Rosales,Rosaceae,Prunus,Prunus sachalinensis,273,#25838E
Rosales,Rosaceae,Prunus,Prunus sargentii,274,#26828E
Rosales,Rosaceae,Prunus,Prunus serrula,275,#26828E
Rosales,Rosaceae,Prunus,Prunus serrulata,276,#26828E
Rosales,Rosaceae,Prunus,Prunus sp.,277,#26828E
Rosales,Rosaceae,Prunus,Prunus spinosa,278,#26828E
Rosales,Rosaceae,Prunus,Prunus subhirtella,279,#26818E
Rosales,Rosaceae,Prunus,Prunus umineko,280,#26818E
Rosales,Rosaceae,Prunus,Prunus yedoensis,281,#27808E
Rosales,Rosaceae,Pyrus,Pyrus calleryana,282,#27808E
Rosales,Rosaceae,Pyrus,Pyrus caucasica,283,#277F8E
Rosales,Rosaceae,Pyrus,Pyrus communis,284,#277F8E
Rosales,Rosaceae,Pyrus,Pyrus nivalis,285,#277E8E
Rosales,Rosaceae,Pyrus,Pyrus piperitum,286,#277E8E
Rosales,Rosaceae,Pyrus,Pyrus sp.,287,#287E8E
Rosales,Rosaceae,Rosa,Rosa sp.,288,#287D8E
Rosales,Rosaceae,Sorbaria,Sorbaria arborea,289,#287D8E
Rosales,Rosaceae,Sorbus,Sorbus alnifolia,290,#287C8E
Rosales,Rosaceae,Sorbus,Sorbus americana,291,#287C8E
Rosales,Rosaceae,Sorbus,Sorbus aria,292,#297B8E
Rosales,Rosaceae,Sorbus,Sorbus aucuparia,293,#297B8E
Rosales,Rosaceae,Sorbus,Sorbus commixta,294,#297A8E
Rosales,Rosaceae,Sorbus,Sorbus domestica,295,#297A8E
Rosales,Rosaceae,Sorbus,Sorbus hybrida,296,#297A8E
Rosales,Rosaceae,Sorbus,Sorbus incana,297,#29798E
Rosales,Rosaceae,Sorbus,Sorbus intermedia,298,#29798E
Rosales,Rosaceae,Sorbus,Sorbus latifolia,299,#2A788E
Rosales,Rosaceae,Sorbus,Sorbus mougeotii,300,#2A788E
Rosales,Rosaceae,Sorbus,Sorbus sp.,301,#2A778E
Rosales,Rosaceae,Sorbus,Sorbus torminalis,302,#2A778E
Rosales,Ulmaceae,Ulmus,Ulmus hybr.,303,#2A768E
Rosales,Ulmaceae,Ulmus,Ulmus laevis,304,#2A768E
Rosales,Ulmaceae,Ulmus,Ulmus minor,305,#2A768E
Rosales,Ulmaceae,Ulmus,Ulmus sp.,306,#2B758E
Rosales,Ulmaceae,Zelkova,Zelkova serrata,307,#2B758E
Sapindales,Anacardiaceae,Cotinus,Cotinus coggygria,308,#2B748E
Sapindales,Anacardiaceae,Pistacie,Pistacie chinensis,309,#2B748E
Sapindales,Anacardiaceae,Rhus,Rhus glabra,310,#2C738E
Sapindales,Anacardiaceae,Rhus,Rhus potaninii,311,#2C738E
Sapindales,Anacardiaceae,Rhus,Rhus typhina,312,#2C728E
Sapindales,Anacardiaceae,Rhus,Rhus vernciflua,313,#2C728E
Sapindales,Rutaceae,Phellodendron,Phellodendron amurense,314,#2C718E
Sapindales,Rutaceae,Poncirus,Poncirus trifoliatus,315,#2C718E
Sapindales,Rutaceae,Tetradium,Tetradium daniellii,316,#2C718E
Sapindales,Rutaceae,Zanthoxylum,Zanthoxylum americanum,317,#2D718E
Sapindales,Rutaceae,Zanthoxylum,Zanthoxylum piperitum,318,#2D718E
Sapindales,Sapindaceae,Acer,Acer argutum,319,#2D708E
Sapindales,Sapindaceae,Acer,Acer betulifolia,320,#2D708E
Sapindales,Sapindaceae,Acer,Acer buergeranium,321,#2E6F8E
Sapindales,Sapindaceae,Acer,Acer campestre,322,#2E6F8E
Sapindales,Sapindaceae,Acer,Acer capillipes,323,#2E6F8E
Sapindales,Sapindaceae,Acer,Acer cappadonicum,324,#2E6E8E
